,Date,Low,High,Close,Open
3707,2025-03-25,271.28,288.2,288.14,283.6
3706,2025-03-24,256.33,278.64,278.39,258.075
3705,2025-03-21,234.55,249.52,248.71,234.985
3704,2025-03-20,230.0501,238.0,236.26,233.345
3703,2025-03-19,229.201,241.41,235.86,231.61
3702,2025-03-18,222.28,230.1,225.31,228.155
3701,2025-03-17,232.8,245.4,238.01,245.055
3700,2025-03-14,240.73,251.58,249.98,247.31
3699,2025-03-13,232.6,248.29,240.68,248.125
3698,2025-03-12,241.1,251.84,248.09,247.22
3697,2025-03-11,217.02,237.0649,230.58,225.305
3696,2025-03-10,220.0,253.37,222.15,252.54
3695,2025-03-07,250.73,266.2499,262.67,259.32
3694,2025-03-06,260.02,272.65,263.45,272.06
3693,2025-03-05,267.71,279.55,279.1,272.92
3692,2025-03-04,261.8401,284.35,272.04,270.93
3691,2025-03-03,277.3,303.94,284.65,300.34
3690,2025-02-28,273.6,293.88,292.98,279.5
3689,2025-02-27,280.88,297.23,281.95,291.16
3688,2025-02-26,288.04,309.0,290.8,303.715
3687,2025-02-25,297.2512,328.89,302.8,327.025
3686,2025-02-24,324.7,342.3973,330.53,338.14
3685,2025-02-21,334.42,354.98,337.8,353.44
3684,2025-02-20,348.0,362.3,354.4,361.51
3683,2025-02-19,353.67,367.34,360.56,354.0
3682,2025-02-18,350.02,359.1,354.11,355.01
3681,2025-02-14,347.5,362.0,355.84,360.62
3680,2025-02-13,342.85,358.69,355.94,345.0
3679,2025-02-12,329.12,346.4,336.51,329.94
3678,2025-02-11,325.1,349.37,328.5,345.8
3677,2025-02-10,350.51,362.7,350.73,356.21
3676,2025-02-07,360.34,380.5459,361.62,370.19
3675,2025-02-06,363.18,375.4,374.32,373.03
3674,2025-02-05,375.53,388.39,378.17,387.51
3673,2025-02-04,381.4,394.0,392.21,382.63
3672,2025-02-03,374.36,389.17,383.68,386.68
3671,2025-01-31,401.34,419.99,404.6,401.53
3670,2025-01-30,384.41,412.5,400.28,410.78
3669,2025-01-29,384.48,398.5899,389.1,395.21
3668,2025-01-28,386.5,400.59,398.09,396.91
3667,2025-01-27,389.0,406.69,397.15,394.8
3666,2025-01-24,405.78,418.88,406.58,414.45
3665,2025-01-23,408.95,420.73,412.38,416.06
3664,2025-01-22,414.59,428.0,415.11,416.81
3663,2025-01-21,406.31,433.2,424.07,432.64
3662,2025-01-17,419.75,439.74,426.5,421.5
3661,2025-01-16,409.13,424.0,413.82,423.49
3660,2025-01-15,405.661,429.8,428.22,409.9
3659,2025-01-14,394.54,422.64,396.36,414.34
3658,2025-01-13,380.07,403.79,403.31,383.21
3657,2025-01-10,377.29,399.28,394.74,391.4
3656,2025-01-08,387.4,402.4999,394.94,392.95
3655,2025-01-07,390.0,414.33,394.36,405.83
3654,2025-01-06,401.7,426.43,411.05,423.2
3653,2025-01-03,379.45,411.8799,410.44,381.48
3652,2025-01-02,373.04,392.7299,379.28,390.1
3651,2024-12-31,402.54,427.93,403.84,423.79
3650,2024-12-30,415.75,427.0,417.41,419.4
3649,2024-12-27,426.5,450.0,431.66,449.52
3648,2024-12-26,451.02,465.3299,454.13,465.16
3647,2024-12-24,435.14,462.78,462.28,435.9
3646,2024-12-23,415.4112,434.51,430.6,431.0
3645,2024-12-20,417.64,447.08,421.06,425.505
3644,2024-12-19,420.02,456.36,436.17,451.88
3643,2024-12-18,427.01,488.5399,440.13,466.495
3642,2024-12-17,457.5101,483.99,479.86,475.9
3641,2024-12-16,436.15,463.19,463.02,441.09
3640,2024-12-13,415.71,436.3,436.23,420.0
3639,2024-12-12,415.0,429.3,418.1,424.84
3638,2024-12-11,402.38,424.88,424.77,409.7
3637,2024-12-10,390.85,409.73,400.99,392.68
3636,2024-12-09,378.01,404.8,389.79,397.61
3635,2024-12-06,370.8,389.49,389.22,377.42
3634,2024-12-05,359.5,375.43,369.49,359.87
3633,2024-12-04,348.6,358.1,357.93,353.0
3632,2024-12-03,348.2,355.69,351.42,351.8
3631,2024-12-02,351.1501,360.0,357.09,352.38
3630,2024-11-29,334.65,345.45,345.16,336.08
3629,2024-11-27,326.59,342.55,332.89,341.8
3628,2024-11-26,335.66,346.96,338.23,341.0
3627,2024-11-25,338.2,361.93,338.59,360.14
3626,2024-11-22,337.7,361.53,352.56,341.085
3625,2024-11-21,335.28,347.9899,339.64,343.81
3624,2024-11-20,334.3,346.5999,342.03,345.0
3623,2024-11-19,332.75,347.3799,346.0,335.76
3622,2024-11-18,330.01,348.5499,338.74,340.73
3621,2024-11-15,309.22,324.6799,320.72,310.57
3620,2024-11-14,310.37,329.98,311.18,327.69
3619,2024-11-13,322.5,344.5999,330.24,335.85
3618,2024-11-12,323.31,345.84,328.49,342.74
3617,2024-11-11,336.0,358.64,350.0,346.3
3616,2024-11-08,297.66,328.71,321.22,299.14
3615,2024-11-07,285.52,299.75,296.91,288.89
3614,2024-11-06,275.62,289.59,288.53,284.67
3613,2024-11-05,246.2101,255.2799,251.44,247.34
3612,2024-11-04,238.88,248.9,242.84,244.56
3611,2024-11-01,246.63,254.0,248.98,252.043
3610,2024-10-31,249.25,259.75,249.85,257.99
3609,2024-10-30,255.8201,263.35,257.55,258.035
3608,2024-10-29,255.51,264.98,259.52,264.51
3607,2024-10-28,262.24,273.536,262.51,270.0
3606,2024-10-25,255.32,269.49,269.19,256.01
3605,2024-10-24,242.65,262.1199,260.48,244.68
